lsoa_a,lsoa_b,day,hour,label
31,334,0,17,0
322,344,6,23,1
215,990,0,4,1
896,356,3,15,0
715,760,5,10,0
952,477,2,16,0
540,918,6,11,0
112,433,2,3,1
693,117,0,5,1
481,877,6,20,1
491,12,1,10,0
270,507,2,8,0
806,728,2,1,1
105,959,1,0,1
774,451,2,15,0
873,925,6,16,0
359,5,6,6,0
174,365,5,16,0
904,174,0,20,0
926,876,6,20,0
33,321,2,12,0
483,554,3,14,0
665,995,4,16,0
953,82,5,10,0
266,398,4,13,0
838,82,3,22,1
754,537,0,1,1
390,179,4,8,0
516,322,0,4,1
783,232,1,22,0
348,547,4,8,0
22,598,2,18,0
463,214,5,21,0
340,211,4,14,0
82,236,3,10,0
654,363,6,12,0
720,933,0,15,0
501,674,5,0,0
131,771,2,21,1
112,131,4,17,1
827,287,4,5,0
358,359,3,22,1
201,23,2,19,0
239,141,0,5,1
355,161,5,21,1
918,675,0,6,0
282,490,5,23,1
981,55,5,6,0
540,869,6,8,0
251,494,5,4,1
414,279,3,9,0
7,705,4,1,1
665,441,3,7,0
598,474,0,17,0
434,634,2,17,0
365,521,4,21,1
533,318,1,21,0
680,336,0,6,0
142,755,6,8,0
32,684,6,5,1
735,94,2,22,1
990,643,2,5,1
520,807,0,9,0
629,188,6,23,1
421,651,6,2,1
150,571,3,7,0
210,195,6,21,1
167,514,3,9,0
168,136,6,9,0
101,426,4,11,0
621,756,2,11,0
630,199,0,2,1
328,865,6,6,0
120,242,5,21,1
779,950,3,14,0
816,346,4,14,0
217,789,3,0,1
639,350,1,20,0
298,762,4,7,0
762,677,4,21,1
142,995,5,17,0
411,597,2,11,1
71,673,2,23,1
963,200,3,19,0
212,363,6,0,1
697,857,2,5,1
950,781,1,7,0
771,127,5,4,1
534,674,4,15,0
681,1,1,14,0
373,813,5,9,0
270,416,2,6,0
227,224,2,0,0
69,924,4,11,0
258,219,3,17,0
780,78,3,12,0
159,112,3,1,1
676,947,1,18,0
392,58,4,14,0
194,102,2,6,0
674,927,2,13,0
521,349,1,2,1
727,998,4,12,0
163,657,3,5,0
930,256,3,9,0
631,838,6,15,0
52,871,2,8,0
666,718,1,10,0
350,61,6,8,0
184,994,4,23,1
518,396,0,16,0
195,824,1,17,0
119,914,0,5,1
272,262,2,12,1
80,978,6,11,0
677,310,2,15,0
90,345,2,6,0
204,330,1,19,0
112,702,2,1,1
574,727,3,13,0
334,145,1,23,1
650,428,5,19,0
46,514,3,2,1
253,853,4,23,1
366,828,6,0,0
414,607,6,1,1
782,960,2,23,0
422,117,0,12,0
891,638,5,5,1
908,748,5,3,1
871,828,6,18,0
50,570,6,10,0
15,880,3,0,1
334,274,4,16,0
978,937,1,5,1
106,497,6,12,0
118,630,0,21,0
104,344,4,20,1
19,564,2,16,1
106,274,3,0,1
163,413,6,0,0
991,825,6,19,0
503,205,5,6,0
804,688,0,10,0
899,636,3,4,1
800,415,1,1,1
443,762,1,11,0
820,860,0,23,1
341,666,6,9,0
987,391,4,20,1
38,510,2,8,0
173,711,0,13,0
104,200,4,9,0
968,160,2,6,0
262,236,1,21,1
3,620,4,16,0
933,135,6,15,0
763,818,1,13,0
194,811,2,2,1
597,755,3,6,0
864,759,1,13,0
155,693,1,13,0
757,361,2,7,0
472,864,3,13,0
954,675,0,2,1
319,706,5,23,0
742,508,6,21,0
237,295,3,15,1
284,875,6,9,0
704,116,5,22,0
749,524,4,13,0
477,386,4,4,1
217,332,6,6,0
902,870,2,13,0
812,488,2,21,1
808,103,6,2,1
375,491,1,5,1
585,468,3,1,1
796,575,6,1,1
403,930,6,5,1
648,788,2,9,0
259,693,3,9,0
174,812,3,20,0
138,756,3,0,1
995,940,6,0,0
772,501,2,18,0
768,171,4,0,1
655,450,1,21,1
826,673,0,6,0
891,887,2,18,0
256,646,3,18,0
929,420,4,4,0
147,870,0,19,0
972,991,0,8,0
963,150,1,13,0
266,226,1,18,0
513,414,6,7,0
217,572,0,0,1
502,941,6,23,1
661,788,3,21,1
227,772,5,13,0
830,984,1,21,0
555,814,6,4,1
295,667,2,0,1
637,536,2,10,0
76,427,0,22,1
597,209,4,4,0
286,159,3,12,0
352,617,5,10,0
438,363,0,21,1
53,660,2,8,1
920,953,4,14,0
638,593,3,6,0
862,124,0,13,0
485,699,0,2,1
658,174,3,12,0
621,105,4,10,0
248,839,5,9,1
588,292,1,8,0
760,913,1,2,0
750,568,1,11,0
880,447,0,21,1
971,962,4,9,0
401,160,3,2,1
961,123,6,19,0
856,651,5,16,0
697,901,5,12,1
446,304,0,23,1
336,721,5,5,1
607,280,4,1,0
803,105,4,16,0
818,105,2,4,1
671,545,2,21,1
159,825,1,9,0
166,395,2,14,0
142,425,3,8,0
548,656,0,1,1
933,609,3,7,0
310,115,2,12,0
8,940,3,12,0
739,283,6,21,0
163,919,1,13,0
46,736,3,23,0
320,358,4,5,1
636,81,3,11,1
187,551,0,15,0
751,178,5,9,0
573,228,6,0,1
873,365,4,11,0
393,59,0,6,0
244,343,2,1,1
449,634,1,9,0
669,824,1,22,1
178,169,5,1,0
346,771,3,3,1
674,51,6,10,0
813,485,6,17,0
778,300,2,21,1
907,493,1,21,0
507,630,2,0,1
416,869,5,11,0
162,599,4,14,0
67,51,2,14,0
747,679,3,22,1
605,88,2,7,0
204,136,1,20,1
572,674,2,18,0
864,108,4,19,0
579,601,2,19,0
288,566,5,17,0
709,635,5,15,0
785,53,4,12,0
707,108,3,21,1
316,333,2,17,0
986,74,0,5,1
786,57,5,4,1
807,49,6,19,0
945,69,6,20,1
6,456,6,5,0
143,308,2,3,1
248,875,0,7,0
338,430,3,1,1
560,815,6,18,0
52,401,2,16,0
460,791,5,16,0
817,946,2,19,0
191,746,6,18,0
585,989,6,9,0
943,63,1,17,1
990,67,4,13,0
907,692,5,8,0
975,342,1,23,1
705,180,5,20,1
388,992,6,8,0
47,900,3,12,0
687,272,5,16,0
964,788,2,3,1
162,103,3,16,0
863,756,2,12,1
906,396,2,10,0
832,345,4,21,0
832,627,3,10,0
430,181,2,18,1
213,357,6,14,1
570,911,6,13,1
746,215,6,10,0
519,287,5,2,1
5,361,2,23,1
237,648,6,8,0
342,675,0,23,1
539,741,6,6,0
964,492,0,14,0
97,193,4,8,0
898,975,0,3,0
549,449,0,12,0
101,538,4,20,1
774,149,1,23,1
760,122,1,15,0
510,794,3,18,1
767,669,3,9,0
376,630,2,2,1
859,629,2,11,0
108,421,2,9,0
704,491,0,6,0
51,196,5,8,1
713,209,2,12,0
253,675,6,9,0
875,550,5,13,0
438,659,6,11,0
413,309,3,11,0
115,201,0,11,0
329,336,5,19,0
981,655,0,6,0
474,935,0,18,0
168,420,4,11,0
79,683,4,7,0
228,778,5,9,0
11,113,6,19,0
176,774,2,2,1
416,907,4,13,0
368,815,0,11,0
972,96,1,14,0
376,276,4,21,1
879,495,1,22,1
160,951,4,2,0
106,580,0,11,0
415,606,3,17,0
374,983,3,5,1
966,547,5,20,1
39,436,2,17,0
82,515,4,13,0
763,695,4,5,0
422,750,1,3,1
376,964,6,12,0
812,146,0,23,0
437,730,2,18,0
166,524,5,12,0
643,427,5,21,0
589,512,2,5,1
102,697,3,1,1
540,328,0,8,0
507,255,1,2,1
40,592,3,23,0
94,883,2,23,1
556,122,2,7,0
344,628,6,1,0
177,981,4,1,1
166,525,4,8,0
495,482,3,15,1
910,954,5,16,0
860,443,2,7,0
6,135,4,7,0
329,987,4,14,0
136,113,4,14,0
782,527,1,9,0
732,26,1,19,0
601,838,1,22,0
802,511,6,2,0
272,609,1,11,0
87,223,3,9,0
982,220,6,14,0
361,431,2,4,1
937,435,3,14,0
768,758,5,23,0
967,795,2,13,0
555,901,0,2,1
561,912,3,18,0
245,93,2,21,1
44,626,5,15,0
85,437,2,0,1
81,77,6,23,1
74,554,5,6,0
610,437,3,6,1
945,427,1,23,1
420,762,5,19,0
621,805,0,13,0
995,953,4,0,0
168,355,5,6,0
173,985,5,1,1
965,406,3,23,1
7,380,4,5,1
288,245,4,7,0
732,884,1,0,1
337,370,4,6,0
830,808,5,20,1
934,256,1,8,0
169,840,3,18,0
389,772,1,13,0
787,405,5,15,0
585,58,0,15,0
416,255,0,16,0
838,10,2,14,0
749,150,3,6,0
251,935,5,22,0
112,257,3,19,1
889,679,6,15,0
491,529,2,15,0
859,573,0,16,0
928,965,2,0,1
886,60,0,6,0
605,113,3,17,0
19,316,4,15,0
444,387,0,0,1
944,921,2,3,1
483,812,0,23,1
801,784,0,18,0
689,613,3,18,0
451,442,3,11,0
405,376,1,15,0
355,302,2,14,0
881,305,6,21,0
203,46,2,12,0
404,57,4,12,0
183,893,2,16,0
620,941,4,17,0
181,25,3,2,1
8,145,3,14,0
680,247,6,8,0
117,900,6,18,1
139,432,5,13,0
489,221,1,20,1
828,62,6,1,0
35,289,5,21,0
796,461,4,10,0
472,866,4,11,0
503,228,6,14,0
587,112,6,19,0
348,704,0,4,1
250,160,2,14,0
569,692,0,20,0
793,306,4,4,1
11,264,3,19,0
699,108,5,4,1
994,593,6,15,0
81,433,3,4,0
641,388,0,11,0
690,140,2,7,0
293,881,5,10,0
459,770,5,12,1
870,325,4,16,0
417,352,4,6,0
529,22,5,8,0
600,641,3,22,0
170,704,5,9,0
229,417,1,5,1
985,742,1,13,0
55,925,6,7,1
286,167,0,23,1
524,491,2,17,0
360,652,5,16,0
481,457,6,15,0
50,50,5,18,0
138,741,5,20,1
181,709,1,11,0
330,862,1,8,0
677,296,3,17,0
927,393,2,21,1
857,893,6,21,0
263,490,1,12,0
748,596,4,13,0
490,642,4,5,0
703,852,2,16,0
5,772,2,18,0
911,702,0,13,0
320,303,5,4,1
196,745,0,1,1
290,94,2,0,1
208,68,2,4,1
297,369,5,16,0
339,483,0,1,1
706,924,2,1,1
979,838,6,3,1
776,340,0,12,0
406,772,1,4,0
312,790,2,2,1
480,977,4,12,0
742,710,4,5,0
417,93,3,22,1
496,114,1,6,0
505,337,1,13,0
163,230,6,12,0
149,82,5,18,0
204,660,1,4,1
552,493,0,4,1
27,35,0,2,1
979,360,6,15,0
417,524,0,2,1
781,671,4,16,0
708,58,3,13,0
38,417,2,6,0
394,43,6,18,0
156,312,4,17,0
385,556,6,3,1
637,35,6,5,1
780,199,4,19,0
533,954,6,10,0
221,631,4,12,0
328,311,4,10,0
708,125,4,10,0
834,809,4,10,1
614,86,0,18,0
181,926,1,19,0
31,434,4,4,1
483,887,0,21,0
450,245,4,21,1
172,646,4,21,1
136,745,6,4,0
991,935,1,14,0
708,360,1,22,0
565,507,0,12,1
932,922,5,3,1
997,60,0,8,1
424,749,0,4,1
643,63,0,22,1
99,608,4,12,0
249,380,1,8,0
821,294,6,11,0
224,462,6,12,0
14,207,3,0,0
677,370,0,3,0
633,48,2,20,1
413,321,0,1,0
570,301,6,11,0
592,606,4,8,0
139,946,1,15,0
983,658,0,17,1
353,613,6,19,0
592,641,5,13,0
106,231,2,6,0
343,541,4,11,0
990,965,2,10,0
383,990,2,16,0
310,612,0,4,1
492,119,4,4,1
121,375,0,9,0
287,713,0,19,0
172,559,6,3,1
112,165,3,23,0
905,711,0,21,1
371,287,6,0,1
70,421,1,1,1
848,385,4,4,1
177,195,4,8,0
522,339,3,15,0
250,817,5,14,0
23,255,3,2,1
883,549,5,5,0
219,281,3,17,0
835,70,0,17,0
260,914,0,2,1
252,268,6,21,1
118,343,6,15,0
917,501,4,0,0
726,61,0,4,1
505,599,0,5,1
357,617,5,20,1
522,304,2,0,1
771,925,0,11,0
340,735,6,19,0
457,133,6,18,0
370,88,5,10,0
951,76,2,5,1
481,42,6,2,1
676,812,3,10,0
795,340,1,9,0
710,931,5,14,0
427,769,5,22,1
647,585,4,8,0
293,917,5,4,1
237,897,3,6,0
586,443,6,2,1
184,456,0,14,0
766,828,3,1,0
43,926,2,7,0
27,379,5,20,1
95,639,1,14,0
846,982,4,11,0
920,180,6,9,0
541,835,0,20,1
970,498,0,0,1
128,719,0,16,0
30,329,0,3,1
967,342,2,7,0
963,909,6,5,1
748,996,3,3,0
487,433,1,20,1
875,387,4,14,0
235,615,6,18,0
7,121,2,13,0
959,482,4,19,0
977,265,2,19,0
544,403,6,15,0
106,820,2,8,1
159,744,6,16,0
955,84,0,11,1
636,958,6,7,0
521,370,0,12,0
696,348,3,10,0
939,110,6,10,0
700,431,6,12,0
676,154,0,23,1
915,217,5,1,1
197,252,4,23,1
19,565,5,21,1
896,982,6,4,0
704,976,3,11,0
166,558,3,16,0
665,444,5,2,1
892,116,6,10,0
519,314,2,22,0
23,192,0,23,0
679,226,5,10,0
976,687,6,16,0
128,807,1,8,0
791,847,5,21,1
403,709,2,16,0
641,289,6,1,0
768,272,0,20,0
507,738,3,0,0
172,818,2,4,1
683,386,6,10,0
112,8,6,0,0
78,384,6,11,0
659,130,0,1,0
604,653,2,11,0
382,558,4,12,0
969,73,5,12,0
322,535,0,20,1
428,215,2,1,1
654,213,2,23,1
972,240,6,22,0
536,562,5,5,1
390,238,3,9,0
457,917,6,17,1
836,722,3,15,0
761,692,4,15,0
927,423,4,21,1
242,191,4,3,1
736,245,2,19,0
420,743,0,6,0
442,855,4,10,0
208,431,2,8,0
806,980,0,0,1
543,350,6,2,0
842,122,0,1,1
12,416,1,15,0
609,86,6,19,1
867,785,3,11,1
361,522,0,2,1
314,573,6,20,1
744,111,0,22,1
991,223,5,14,0
169,611,1,8,0
983,189,5,0,1
253,673,1,16,0
282,191,5,2,0
387,611,4,11,0
755,750,1,7,0
92,606,0,23,0
804,984,1,6,0
567,947,5,18,0
619,696,1,16,0
474,893,0,16,0
960,244,1,6,0
371,751,3,14,1
979,208,6,19,0
875,267,4,18,0
215,56,3,8,1
863,688,0,14,0
562,436,5,12,0
834,260,3,1,1
123,61,1,23,1
469,433,3,17,0
596,728,3,2,1
17,541,1,19,0
340,514,3,23,1
952,521,2,9,0
530,94,4,20,1
345,771,2,19,0
680,782,0,5,1
708,517,4,8,0
524,966,6,10,1
360,519,6,8,0
600,90,1,19,0
190,900,3,17,0
579,495,0,2,1
639,822,2,12,0
897,898,5,12,1
152,767,0,1,1
480,685,0,22,1
651,103,3,8,0
266,531,6,16,0
626,92,4,12,0
498,447,2,16,0
334,924,1,18,0
803,589,4,21,1
44,618,6,15,0
458,852,5,9,0
877,589,5,23,1
912,750,2,7,0
431,648,1,15,0
113,908,2,15,0
830,617,5,19,0
626,387,0,10,0
638,213,3,12,0
364,801,4,20,1
708,583,6,1,1
685,337,4,4,0
315,520,3,15,0
238,699,3,22,0
716,424,1,15,0
407,389,1,4,1
321,200,4,11,0
224,226,3,6,0
219,980,5,8,0
543,75,0,4,1
170,734,3,22,1
520,92,4,19,0
796,603,6,1,1
24,510,3,18,0
109,177,2,16,0
220,392,5,5,1
291,527,3,17,0
977,417,5,9,1
535,784,3,7,0
43,834,3,8,0
198,160,4,21,1
492,963,3,10,0
639,485,5,4,1
169,510,3,23,1
609,304,0,5,1
498,848,2,10,0
326,579,2,0,1
837,206,4,16,0
283,279,2,2,1
894,491,6,22,0
144,791,1,11,0
961,606,1,1,1
220,252,1,10,0
31,580,5,10,0
587,753,4,10,0
770,533,5,16,0
542,809,3,13,0
204,116,0,15,0
594,26,2,21,0
766,21,4,3,1
563,441,4,13,1
138,887,0,10,0
554,836,4,22,1
345,588,3,23,0
109,202,4,4,0
310,700,2,7,0
624,71,1,15,0
742,432,6,6,0
50,718,0,18,0
378,375,0,13,0
839,723,4,1,1
995,775,0,18,0
764,518,2,5,0
935,675,0,5,1
160,495,4,2,0
437,417,3,18,1
385,445,4,19,0
372,669,2,1,1
770,544,6,5,1
169,630,1,9,0
476,167,6,2,1
971,516,2,10,0
742,387,4,7,0
733,13,4,20,0
733,18,1,12,0
123,738,4,9,0
179,669,4,2,1
787,875,0,10,0
67,795,6,17,0
498,331,1,8,0
593,971,2,20,1
727,97,4,2,1
296,409,1,20,1
962,202,2,13,0
847,316,0,4,1
416,741,1,10,0
766,16,1,16,0
300,965,3,9,0
573,274,1,0,0
524,952,6,13,0
674,776,6,7,0
247,820,6,17,0
951,308,1,3,1
753,754,2,1,1
804,773,4,7,0
834,353,0,10,0
160,653,3,10,0
90,5,4,23,0
195,495,2,22,1
148,41,5,18,0
592,499,2,6,0
220,179,0,22,1
736,428,4,7,1
63,544,5,15,0
905,729,3,18,0
209,213,6,22,1
568,128,2,10,1
270,982,0,1,1
576,989,2,16,0
860,789,3,7,0
598,676,0,18,0
417,18,2,19,0
188,507,3,7,0
787,963,1,2,1
240,714,2,12,0
385,296,4,22,0
514,711,0,3,1
587,401,0,12,0
471,676,2,11,0
523,191,4,16,0
526,508,4,8,0
724,472,2,3,0
163,839,5,3,1
163,687,3,7,0
867,183,6,8,1
207,427,5,18,0
687,647,5,23,1
508,341,1,15,0
571,683,1,7,0
621,623,4,1,0
158,218,0,19,1
452,810,5,5,1
704,986,1,18,0
517,105,2,22,1
836,217,5,12,0
968,415,1,4,0
85,875,0,5,1
347,241,1,7,0
417,238,4,10,0
460,144,2,19,0
391,680,0,15,0
627,542,5,3,1
909,580,0,9,0
858,169,1,18,0
513,974,2,23,1
662,597,2,18,0
60,3,6,1,1
647,88,6,23,1
684,774,6,17,0
799,699,1,11,0
579,537,4,4,1
34,79,3,20,1
903,803,1,6,0
651,735,5,12,0
787,298,6,20,1
676,581,6,7,1
85,525,5,17,0
204,749,4,3,1
697,930,2,22,1
867,735,2,2,1
429,621,6,13,0
159,950,2,1,0
721,149,6,10,0
839,213,0,2,1
521,995,1,10,0
354,802,2,3,1
911,48,4,8,0
304,856,6,8,0
245,447,5,13,0
452,771,0,12,0
748,323,5,6,0
287,277,5,5,1
993,378,5,9,0
388,970,0,3,1
362,532,3,19,0
529,20,0,4,1
523,663,6,23,1
26,150,4,19,0
854,299,5,10,1
591,992,2,19,1
772,768,6,15,0
360,910,2,6,0
407,896,1,1,1
993,425,0,8,1
468,233,3,14,1
307,482,2,2,1
705,395,4,15,0
703,57,2,21,0
836,539,0,0,0
376,771,2,20,1
452,735,6,8,0
408,746,2,2,1
118,425,2,7,0
706,428,6,21,0
432,331,1,22,0
713,241,0,22,1
229,596,1,4,1
603,858,2,1,1
610,665,1,23,1
851,952,0,22,1
728,31,2,4,1
743,421,4,7,1
596,296,1,5,1
644,865,1,5,0
71,1,3,3,0
776,527,6,5,1
147,369,2,10,0
927,135,4,0,1
442,879,3,19,0
660,498,4,4,1
521,675,3,23,1
391,399,3,15,0
322,830,2,8,0
546,937,3,4,1
150,186,5,15,0
931,851,0,10,1
362,141,3,10,1
954,994,6,12,0
729,576,5,8,0
615,84,6,21,1
847,816,5,16,0
81,44,2,23,1
426,245,1,1,0
541,939,1,22,1
41,856,6,16,0
661,228,4,16,0
603,173,5,8,0
50,762,0,23,1
952,394,4,20,1
311,48,1,17,0
977,352,3,1,1
350,320,3,14,0
460,575,0,20,1
276,279,5,19,0
867,460,2,21,1
917,842,3,17,0
30,987,5,22,1
272,981,2,16,0
365,499,4,1,1
